Booking_ID,Booking_Date,Destination,State,Airline,Traveler_Type,Booking_Channel,Booking_Value,Customer_Rating
MMT100096,06-11-2023,Bangalore,Ladakh,IndiGo,Solo,Website,31468,4.9
MMT100097,23-01-2022,Kerala,Rajasthan,Akasa Air,Family,Travel Agent,43075,4
MMT100098,04-11-2023,Manali,Kerala,IndiGo,Couple,Mobile App,42252,3.6
MMT100099,29-04-2023,Mumbai,Rajasthan,SpiceJet,Solo,Travel Agent,14697,3.1
MMT100100,04-11-2023,Goa,Rajasthan,SpiceJet,Family,Website,39166,3.4
MMT100101,10-12-2022,Delhi,Karnataka,IndiGo,Couple,Mobile App,19579,4.4
MMT100102,18-03-2023,Goa,Himachal Pradesh,Air India,Business,Website,41409,4.8
MMT100103,11-03-2022,Leh,Rajasthan,SpiceJet,Business,Mobile App,13925,3.8
MMT100104,12-11-2023,Jaipur,Delhi,IndiGo,Business,Travel Agent,9612,3.6
MMT100105,27-12-2022,Delhi,Rajasthan,Vistara,Business,Travel Agent,24874,4
MMT100106,12-04-2023,Leh,Karnataka,Akasa Air,Family,Website,11410,4.5
MMT100107,04-02-2023,Manali,Karnataka,SpiceJet,Solo,Mobile App,12977,4.3
MMT100108,27-05-2023,Mumbai,Maharashtra,SpiceJet,Couple,Mobile App,40365,4.9
MMT100109,24-10-2023,Goa,Kerala,IndiGo,Solo,Website,5854,4.6
MMT100110,31-10-2022,Jaipur,Rajasthan,Air India,Couple,Mobile App,27282,3.3
MMT100111,29-10-2022,Kerala,Delhi,IndiGo,Family,Travel Agent,19333,4.8
MMT100112,09-12-2024,Delhi,Rajasthan,GoAir,Family,Website,17737,4.8
MMT100113,18-11-2024,Kerala,Rajasthan,GoAir,Couple,Mobile App,16685,3.4
MMT100114,19-09-2022,Goa,Delhi,SpiceJet,Couple,Travel Agent,9118,3.7
MMT100115,21-07-2023,Manali,Ladakh,SpiceJet,Business,Website,28470,4.2
MMT100116,12-04-2024,Goa,Rajasthan,SpiceJet,Couple,Website,23183,3.1
MMT100117,19-06-2022,Dubai,Kerala,Vistara,Business,Website,13301,4.4
MMT100118,13-08-2024,Mumbai,UAE,Air India,Solo,Website,38463,3
MMT100119,13-03-2022,Delhi,UAE,GoAir,Business,Mobile App,35915,4.8
MMT100120,26-11-2024,Leh,Himachal Pradesh,Vistara,Family,Website,9871,3.3
MMT100121,06-04-2023,Manali,Ladakh,Akasa Air,Couple,Travel Agent,10996,3.3
MMT100122,05-08-2022,Udaipur,Maharashtra,Air India,Couple,Mobile App,19234,4.2
MMT100123,21-11-2022,Leh,Kerala,Akasa Air,Couple,Mobile App,22446,4.5
MMT100124,27-02-2023,Udaipur,Rajasthan,GoAir,Family,Mobile App,5873,4.3
MMT100125,04-01-2023,Leh,Ladakh,IndiGo,Couple,Mobile App,46895,3.2
MMT100126,13-04-2023,Mumbai,Maharashtra,IndiGo,Couple,Travel Agent,49617,3.3
MMT100127,08-02-2022,Udaipur,Maharashtra,IndiGo,Family,Mobile App,13337,3.5
MMT100128,17-06-2022,Bangalore,Rajasthan,Akasa Air,Couple,Travel Agent,9003,4
MMT100129,13-09-2022,Dubai,Rajasthan,SpiceJet,Family,Website,10226,3.3
MMT100130,26-01-2023,Kerala,Delhi,GoAir,Solo,Website,6302,4.5
MMT100131,25-02-2024,Goa,Rajasthan,SpiceJet,Couple,Website,20458,4.5
MMT100132,26-04-2022,Kerala,Himachal Pradesh,Vistara,Couple,Mobile App,37875,3.9
MMT100133,11-08-2023,Udaipur,Karnataka,Akasa Air,Business,Website,48474,4.7
MMT100134,12-07-2022,Dubai,Himachal Pradesh,Akasa Air,Solo,Mobile App,21813,3.7
MMT100135,15-06-2022,Kerala,Himachal Pradesh,Vistara,Couple,Travel Agent,34227,4.8
MMT100136,06-08-2023,Kerala,UAE,IndiGo,Couple,Mobile App,33990,4.3
MMT100137,21-06-2022,Kerala,Karnataka,Air India,Business,Website,19167,4.7
MMT100138,05-06-2023,Delhi,Ladakh,SpiceJet,Family,Mobile App,19667,3
MMT100139,17-03-2023,Mumbai,Rajasthan,IndiGo,Couple,Website,7811,4.5
MMT100140,06-10-2024,Kerala,Rajasthan,IndiGo,Business,Website,24789,3.7
MMT100141,31-03-2022,Leh,UAE,Akasa Air,Family,Travel Agent,10469,4.5
MMT100142,04-04-2022,Kerala,Maharashtra,Akasa Air,Family,Mobile App,20567,3.7
MMT100143,04-01-2022,Udaipur,Rajasthan,Akasa Air,Family,Website,46072,4.5
MMT100144,15-04-2024,Jaipur,UAE,IndiGo,Couple,Website,27718,3.4
MMT100145,28-12-2022,Leh,Maharashtra,GoAir,Couple,Travel Agent,29807,3.2
MMT100146,14-11-2023,Kerala,Goa,Air India,Solo,Travel Agent,34255,3.3
MMT100147,10-12-2023,Goa,Goa,IndiGo,Business,Mobile App,17375,3.6
MMT100148,02-08-2024,Delhi,Delhi,IndiGo,Family,Mobile App,36919,4.4
MMT100149,16-01-2022,Kerala,Himachal Pradesh,Vistara,Couple,Website,43890,4.9
MMT100150,23-11-2022,Goa,Himachal Pradesh,IndiGo,Business,Travel Agent,48966,3.8
MMT100151,10-04-2023,Udaipur,Kerala,GoAir,Business,Travel Agent,23442,4.7
MMT100152,07-03-2022,Jaipur,Ladakh,IndiGo,Couple,Website,19940,3
MMT100153,10-05-2022,Kerala,Goa,GoAir,Solo,Mobile App,30126,4.6
MMT100154,15-12-2024,Jaipur,Rajasthan,Air India,Solo,Travel Agent,6734,3.5
MMT100155,30-07-2024,Udaipur,UAE,Air India,Family,Website,5373,3.5
MMT100156,23-02-2024,Mumbai,Rajasthan,SpiceJet,Solo,Travel Agent,18571,3.5
MMT100157,27-09-2022,Kerala,Ladakh,Akasa Air,Business,Website,8436,3.1
MMT100158,27-12-2022,Leh,Goa,SpiceJet,Couple,Mobile App,11237,4.6
MMT100159,07-06-2023,Goa,Maharashtra,SpiceJet,Couple,Travel Agent,45266,3.2
MMT100160,11-12-2023,Mumbai,Karnataka,Akasa Air,Couple,Website,9324,4.7
MMT100161,16-05-2024,Goa,Himachal Pradesh,SpiceJet,Business,Mobile App,7370,4.5
MMT100162,20-09-2022,Dubai,Goa,Air India,Couple,Mobile App,10875,4.2
MMT100163,13-11-2023,Leh,UAE,GoAir,Family,Mobile App,46994,4.5
MMT100164,27-11-2022,Jaipur,Karnataka,Akasa Air,Family,Travel Agent,23813,4.5
MMT100165,15-11-2022,Mumbai,Goa,SpiceJet,Solo,Mobile App,12008,3.6
MMT100166,14-08-2024,Bangalore,Kerala,SpiceJet,Business,Website,9992,3.7
MMT100167,04-01-2022,Goa,Ladakh,IndiGo,Couple,Mobile App,4727,4.8
MMT100168,27-06-2023,Delhi,Karnataka,Vistara,Solo,Website,38966,4.4
MMT100169,07-05-2022,Kerala,UAE,Akasa Air,Family,Mobile App,47144,3.8
MMT100170,04-05-2022,Delhi,Himachal Pradesh,SpiceJet,Couple,Mobile App,32151,3.6
MMT100171,28-06-2024,Manali,Rajasthan,Vistara,Couple,Mobile App,30208,4.5
MMT100172,26-09-2022,Leh,Rajasthan,GoAir,Business,Travel Agent,27197,3.3
MMT100173,26-06-2024,Goa,Goa,Vistara,Solo,Mobile App,8420,3.7
MMT100174,19-09-2024,Jaipur,Delhi,Vistara,Family,Website,24977,3.7
MMT100175,23-04-2024,Delhi,Karnataka,IndiGo,Solo,Website,32645,3.8
MMT100176,08-07-2023,Manali,Rajasthan,IndiGo,Couple,Mobile App,26270,4.5
MMT100177,03-10-2023,Udaipur,Karnataka,IndiGo,Family,Mobile App,42468,3.5
MMT100178,13-04-2024,Udaipur,Maharashtra,Akasa Air,Business,Travel Agent,27024,4.5
MMT100179,13-04-2024,Leh,Himachal Pradesh,Vistara,Business,Travel Agent,29589,4.9
MMT100180,26-01-2024,Udaipur,Himachal Pradesh,IndiGo,Couple,Website,35910,4.7
MMT100181,13-04-2022,Udaipur,Rajasthan,IndiGo,Couple,Travel Agent,23803,5
MMT100182,18-09-2022,Delhi,Goa,Vistara,Couple,Mobile App,3571,4.4
MMT100183,15-06-2024,Mumbai,Maharashtra,GoAir,Couple,Travel Agent,25570,3.6
MMT100184,29-08-2024,Bangalore,Rajasthan,SpiceJet,Couple,Mobile App,6360,4.4
MMT100185,28-04-2024,Jaipur,Himachal Pradesh,GoAir,Solo,Website,22418,3.7
MMT100186,17-04-2024,Leh,Himachal Pradesh,GoAir,Business,Website,32047,4
MMT100187,24-12-2023,Kerala,Karnataka,GoAir,Solo,Travel Agent,6952,5
MMT100188,21-05-2023,Udaipur,Maharashtra,Air India,Couple,Website,35848,3.5
MMT100189,08-04-2023,Goa,Delhi,SpiceJet,Business,Mobile App,13584,3.1
MMT100190,12-04-2023,Goa,Delhi,IndiGo,Family,Travel Agent,20582,4.5
MMT100191,26-01-2024,Delhi,Rajasthan,Akasa Air,Business,Website,49204,5
MMT100192,07-02-2024,Dubai,Delhi,GoAir,Family,Mobile App,32117,3.1
MMT100193,18-07-2022,Kerala,Delhi,IndiGo,Solo,Website,8755,4.7
MMT100194,28-12-2022,Kerala,Kerala,Air India,Family,Website,44330,3
MMT100195,20-03-2022,Mumbai,Kerala,IndiGo,Couple,Travel Agent,14504,3.4
MMT100196,13-12-2024,Leh,Karnataka,IndiGo,Business,Mobile App,12216,3.7
MMT100197,03-01-2022,Bangalore,Ladakh,Air India,Business,Mobile App,48444,3.7
MMT100198,23-12-2023,Manali,Delhi,GoAir,Solo,Mobile App,3818,3.2
MMT100199,14-02-2022,Jaipur,Delhi,GoAir,Couple,Website,36918,3.8
MMT100200,23-11-2023,Mumbai,Himachal Pradesh,GoAir,Couple,Website,32477,3.6
MMT100201,22-09-2024,Manali,Kerala,GoAir,Solo,Travel Agent,25144,3.5
MMT100202,17-10-2024,Delhi,Kerala,GoAir,Business,Mobile App,9288,4.5
MMT100203,13-01-2022,Kerala,Karnataka,Akasa Air,Solo,Travel Agent,30138,4.3
MMT100204,28-07-2022,Jaipur,Himachal Pradesh,Air India,Business,Website,33834,4.7
MMT100205,06-04-2022,Mumbai,Rajasthan,Vistara,Business,Mobile App,39146,4.3
MMT100206,23-02-2022,Dubai,Maharashtra,GoAir,Solo,Travel Agent,20299,3.1
MMT100207,23-01-2023,Bangalore,Ladakh,IndiGo,Family,Mobile App,6196,4.5
MMT100208,18-02-2023,Delhi,Karnataka,Vistara,Solo,Mobile App,9156,3.1
MMT100209,25-02-2023,Bangalore,Goa,Akasa Air,Couple,Travel Agent,42585,4.5
MMT100210,13-08-2022,Bangalore,Himachal Pradesh,Air India,Business,Mobile App,19183,4.6
MMT100211,22-01-2023,Bangalore,Rajasthan,SpiceJet,Solo,Travel Agent,14082,4.2
MMT100212,14-11-2024,Dubai,Kerala,GoAir,Couple,Mobile App,18500,4.7
MMT100213,19-10-2023,Leh,Goa,Vistara,Solo,Travel Agent,31528,4.5
MMT100214,10-05-2023,Delhi,Maharashtra,Air India,Couple,Website,39321,3.5
MMT100215,23-01-2024,Dubai,Maharashtra,Vistara,Family,Travel Agent,9246,4.8
MMT100216,12-03-2024,Goa,Kerala,Vistara,Business,Website,25892,4.6
MMT100217,15-02-2023,Kerala,Goa,Akasa Air,Family,Travel Agent,7433,4.3
MMT100218,16-10-2022,Jaipur,Maharashtra,Air India,Business,Mobile App,38800,3.2
MMT100219,11-06-2024,Dubai,Delhi,Vistara,Family,Travel Agent,11777,4
MMT100220,29-01-2024,Dubai,Delhi,Akasa Air,Couple,Website,9805,4.5
MMT100221,03-12-2023,Udaipur,Kerala,GoAir,Business,Website,26387,3.4
MMT100222,06-06-2023,Delhi,Delhi,IndiGo,Solo,Website,35999,4.6
MMT100223,22-07-2024,Bangalore,UAE,IndiGo,Solo,Travel Agent,14002,3.3
MMT100224,15-05-2023,Manali,Himachal Pradesh,IndiGo,Solo,Mobile App,28075,3.7
MMT100225,26-10-2022,Manali,Rajasthan,SpiceJet,Business,Mobile App,25203,3.5
MMT100226,16-11-2022,Kerala,Rajasthan,Akasa Air,Solo,Mobile App,28046,3.2
MMT100227,24-01-2024,Manali,Goa,Akasa Air,Couple,Mobile App,46741,3.1
MMT100228,26-06-2024,Jaipur,UAE,Air India,Family,Mobile App,18108,4.5
MMT100229,27-04-2022,Mumbai,UAE,IndiGo,Solo,Travel Agent,16769,4.7
MMT100230,07-10-2022,Mumbai,Rajasthan,GoAir,Couple,Mobile App,19834,4.1
MMT100231,19-07-2023,Dubai,Delhi,Air India,Solo,Travel Agent,25652,4.8
MMT100232,18-05-2022,Manali,Maharashtra,GoAir,Couple,Mobile App,49439,3.3
MMT100233,14-01-2023,Bangalore,Delhi,Akasa Air,Solo,Website,31642,3.5
MMT100234,24-12-2022,Leh,Ladakh,SpiceJet,Couple,Travel Agent,12173,3.7
MMT100235,14-10-2023,Goa,Himachal Pradesh,GoAir,Business,Website,5624,4.4
MMT100236,19-02-2022,Manali,Himachal Pradesh,Akasa Air,Family,Mobile App,43971,3.4
MMT100237,01-03-2022,Kerala,Himachal Pradesh,Vistara,Family,Mobile App,17349,4.7
MMT100238,07-01-2022,Goa,Rajasthan,Air India,Couple,Website,39416,3.6
MMT100239,20-07-2024,Delhi,Kerala,Akasa Air,Business,Travel Agent,14612,3.9
MMT100240,25-12-2023,Jaipur,Karnataka,Air India,Couple,Travel Agent,6628,4.5
MMT100241,30-05-2022,Dubai,Rajasthan,Akasa Air,Solo,Mobile App,42129,4.7
MMT100242,16-10-2022,Jaipur,UAE,IndiGo,Business,Website,8906,4.9
MMT100243,31-03-2024,Udaipur,Delhi,SpiceJet,Solo,Travel Agent,15498,3.2
MMT100244,17-02-2022,Bangalore,Rajasthan,GoAir,Family,Website,5746,4.4
MMT100245,20-12-2022,Jaipur,Ladakh,Vistara,Solo,Website,3509,4.5
MMT100246,02-07-2023,Jaipur,Himachal Pradesh,Vistara,Solo,Website,43282,4.6
MMT100247,15-06-2023,Mumbai,Ladakh,GoAir,Solo,Mobile App,46628,4.5
MMT100248,18-06-2024,Kerala,Ladakh,SpiceJet,Business,Travel Agent,17059,4.9
MMT100249,07-04-2023,Kerala,Delhi,Vistara,Family,Mobile App,28821,3
MMT100250,25-04-2022,Bangalore,Kerala,Vistara,Solo,Travel Agent,46582,4.8
MMT100251,10-03-2022,Leh,Kerala,IndiGo,Business,Travel Agent,31105,3.7
MMT100252,17-04-2022,Mumbai,Rajasthan,SpiceJet,Business,Website,3413,4.7
MMT100253,15-02-2022,Jaipur,UAE,IndiGo,Solo,Website,15607,3.8
MMT100254,07-01-2023,Jaipur,Rajasthan,IndiGo,Business,Mobile App,4582,4.4
MMT100255,31-07-2022,Dubai,Kerala,SpiceJet,Couple,Mobile App,12546,4.7
MMT100256,17-09-2022,Kerala,Delhi,Akasa Air,Solo,Mobile App,4566,3.9
MMT100257,17-02-2022,Udaipur,Rajasthan,GoAir,Business,Mobile App,19792,3.7
MMT100258,13-02-2022,Goa,Goa,Akasa Air,Family,Mobile App,42271,5
MMT100259,24-06-2023,Delhi,Rajasthan,SpiceJet,Business,Travel Agent,8885,3.9
MMT100260,14-02-2023,Kerala,Rajasthan,Air India,Business,Website,3826,3.7
MMT100261,11-04-2024,Delhi,Rajasthan,IndiGo,Business,Mobile App,8144,3.9
MMT100262,23-01-2024,Goa,Ladakh,IndiGo,Business,Mobile App,17822,3.4
MMT100263,06-10-2022,Dubai,Rajasthan,GoAir,Family,Website,32591,4.5
MMT100264,22-02-2023,Manali,UAE,Vistara,Solo,Website,18518,4.4
MMT100265,28-12-2024,Udaipur,Delhi,SpiceJet,Family,Website,10333,4.8
MMT100266,30-01-2022,Delhi,Goa,SpiceJet,Business,Mobile App,12767,3.2
MMT100267,15-06-2023,Kerala,Delhi,IndiGo,Family,Website,10453,3.5
MMT100268,10-01-2024,Bangalore,Himachal Pradesh,Air India,Family,Mobile App,20124,3.2
MMT100269,29-01-2023,Bangalore,Karnataka,Vistara,Family,Website,13817,3
MMT100270,07-08-2023,Delhi,UAE,Air India,Solo,Mobile App,10629,3.3
MMT100271,17-01-2024,Delhi,Goa,Akasa Air,Solo,Website,35305,3
MMT100272,28-06-2022,Delhi,Karnataka,Vistara,Couple,Travel Agent,20262,3.1
MMT100273,05-04-2024,Mumbai,Karnataka,Akasa Air,Business,Travel Agent,15624,3.4
MMT100274,18-08-2024,Bangalore,Himachal Pradesh,Vistara,Solo,Website,36913,3.2
MMT100275,07-10-2024,Leh,Goa,Akasa Air,Couple,Website,9043,4.4
MMT100276,28-12-2022,Bangalore,Maharashtra,IndiGo,Business,Travel Agent,27812,3
MMT100277,01-12-2022,Jaipur,Rajasthan,Vistara,Business,Website,43856,3.4
MMT100278,23-02-2023,Dubai,Ladakh,SpiceJet,Solo,Website,24409,3.6
MMT100279,07-07-2022,Delhi,Karnataka,Vistara,Family,Mobile App,7173,3.5
MMT100280,22-11-2023,Jaipur,Rajasthan,Akasa Air,Family,Travel Agent,22453,4.8
MMT100281,03-11-2022,Kerala,Ladakh,Akasa Air,Family,Mobile App,36413,3.5
MMT100282,20-04-2024,Delhi,Delhi,IndiGo,Couple,Travel Agent,32648,3.9
MMT100283,03-10-2024,Dubai,UAE,Air India,Couple,Mobile App,33737,3.5
MMT100284,01-07-2024,Delhi,Ladakh,Vistara,Family,Mobile App,46659,3.4
MMT100285,26-06-2023,Udaipur,Kerala,SpiceJet,Couple,Travel Agent,24152,3.6
MMT100286,30-07-2022,Udaipur,Goa,GoAir,Business,Travel Agent,17050,3
MMT100287,14-10-2024,Delhi,Delhi,Air India,Solo,Website,10670,3.5
MMT100288,21-06-2022,Manali,Goa,IndiGo,Couple,Mobile App,35577,3.5
MMT100289,01-05-2024,Delhi,Kerala,Vistara,Business,Mobile App,41489,3.5
MMT100290,29-11-2024,Bangalore,Goa,IndiGo,Business,Mobile App,12114,3.7
MMT100291,03-09-2024,Delhi,Maharashtra,IndiGo,Family,Travel Agent,36600,4.5
MMT100292,14-08-2024,Bangalore,UAE,GoAir,Solo,Website,3501,4.1
MMT100293,02-02-2023,Leh,Kerala,SpiceJet,Business,Website,10188,4.4
MMT100294,17-08-2024,Jaipur,Delhi,GoAir,Family,Travel Agent,48347,4.7
MMT100295,07-02-2022,Manali,Karnataka,Akasa Air,Business,Website,35671,4.8
MMT100296,10-01-2022,Manali,Rajasthan,GoAir,Family,Website,3244,4.6
MMT100297,06-05-2022,Goa,Ladakh,Akasa Air,Business,Travel Agent,46589,3.1
MMT100298,23-08-2023,Goa,Delhi,Vistara,Couple,Mobile App,16840,4.1
MMT100299,02-04-2022,Delhi,Goa,Vistara,Couple,Mobile App,9904,3.9
MMT100300,29-06-2024,Goa,Rajasthan,Air India,Business,Travel Agent,37372,3.7
MMT100301,30-01-2023,Dubai,Maharashtra,Air India,Couple,Mobile App,18156,3.3
MMT100302,20-08-2023,Delhi,Himachal Pradesh,IndiGo,Family,Website,20429,4.2
MMT100303,26-12-2024,Mumbai,Himachal Pradesh,Air India,Family,Website,40036,4.3
MMT100304,01-10-2022,Bangalore,Karnataka,SpiceJet,Couple,Mobile App,10540,3.9
